row_index,BinaryLabel,Subtype
179627,1,SSH-Patator
193778,0,BENIGN
188937,0,BENIGN
65061,0,BENIGN
147757,0,BENIGN
83659,0,BENIGN
115389,0,BENIGN
148102,0,BENIGN
189632,0,BENIGN
171199,0,BENIGN
179239,0,BENIGN
62994,0,BENIGN
185597,0,BENIGN
45137,0,BENIGN
199515,0,BENIGN
173869,0,BENIGN
150449,0,BENIGN
169227,0,BENIGN
147140,0,BENIGN
129616,0,BENIGN
90518,0,BENIGN
31564,0,BENIGN
15140,0,BENIGN
188554,0,BENIGN
127241,0,BENIGN
109552,0,BENIGN
129037,0,BENIGN
83543,0,BENIGN
143630,0,BENIGN
197216,0,BENIGN
138809,0,BENIGN
44414,0,BENIGN
97162,0,BENIGN
158531,0,BENIGN
150260,0,BENIGN
186804,0,BENIGN
3676,0,BENIGN
108896,0,BENIGN
181855,0,BENIGN
127202,0,BENIGN
120595,0,BENIGN
95143,0,BENIGN
43248,0,BENIGN
157705,0,BENIGN
142225,0,BENIGN
48775,0,BENIGN
162810,0,BENIGN
13242,0,BENIGN
145387,0,BENIGN
64331,0,BENIGN
31110,0,BENIGN
16163,0,BENIGN
39193,0,BENIGN
191020,0,BENIGN
198594,0,BENIGN
68222,0,BENIGN
22698,0,BENIGN
184887,0,BENIGN
21317,0,BENIGN
127080,0,BENIGN
185610,0,BENIGN
94725,0,BENIGN
172725,0,BENIGN
22127,0,BENIGN
31047,0,BENIGN
71585,0,BENIGN
148168,0,BENIGN
78851,0,BENIGN
179074,0,BENIGN
42162,0,BENIGN
79685,0,BENIGN
20787,1,FTP-Patator
197675,0,BENIGN
75849,0,BENIGN
145042,0,BENIGN
47235,0,BENIGN
163736,0,BENIGN
193425,0,BENIGN
67716,0,BENIGN
17774,0,BENIGN
53259,0,BENIGN
67128,0,BENIGN
20441,1,FTP-Patator
45568,0,BENIGN
174228,0,BENIGN
21445,0,BENIGN
157135,0,BENIGN
166491,0,BENIGN
89562,0,BENIGN
110303,0,BENIGN
124910,0,BENIGN
157539,0,BENIGN
141697,0,BENIGN
14733,0,BENIGN
1300,0,BENIGN
54623,0,BENIGN
156940,0,BENIGN
47858,0,BENIGN
185985,0,BENIGN
16835,0,BENIGN
164463,0,BENIGN
97966,0,BENIGN
95759,0,BENIGN
195167,0,BENIGN
102700,0,BENIGN
77107,0,BENIGN
11374,0,BENIGN
195318,0,BENIGN
44682,0,BENIGN
124904,0,BENIGN
94839,0,BENIGN
9690,0,BENIGN
177759,0,BENIGN
202952,0,BENIGN
100214,0,BENIGN
79523,0,BENIGN
115364,0,BENIGN
109981,0,BENIGN
184938,0,BENIGN
30994,0,BENIGN
4298,0,BENIGN
64692,0,BENIGN
65432,0,BENIGN
79696,0,BENIGN
179945,0,BENIGN
109442,0,BENIGN
121072,0,BENIGN
193070,0,BENIGN
51264,0,BENIGN
90482,0,BENIGN
164402,0,BENIGN
106727,0,BENIGN
11661,0,BENIGN
1411,0,BENIGN
285,0,BENIGN
128552,0,BENIGN
80284,0,BENIGN
161655,0,BENIGN
163722,0,BENIGN
158724,0,BENIGN
166716,0,BENIGN
87505,0,BENIGN
138462,0,BENIGN
49182,0,BENIGN
82696,0,BENIGN
160069,0,BENIGN
71377,0,BENIGN
139720,0,BENIGN
196670,0,BENIGN
124815,0,BENIGN
113090,0,BENIGN
57925,0,BENIGN
37636,0,BENIGN
139673,0,BENIGN
186435,0,BENIGN
161343,0,BENIGN
44141,0,BENIGN
38856,0,BENIGN
47637,0,BENIGN
137311,0,BENIGN
69738,0,BENIGN
33873,0,BENIGN
128481,0,BENIGN
47581,0,BENIGN
79580,0,BENIGN
7137,1,FTP-Patator
45346,0,BENIGN
77943,0,BENIGN
177451,0,BENIGN
6999,0,BENIGN
47793,0,BENIGN
158793,0,BENIGN
76476,0,BENIGN
151710,0,BENIGN
79708,0,BENIGN
173813,0,BENIGN
148377,0,BENIGN
50675,0,BENIGN
161074,0,BENIGN
159069,0,BENIGN
124422,0,BENIGN
17911,0,BENIGN
22123,0,BENIGN
58756,0,BENIGN
32582,0,BENIGN
80791,0,BENIGN
186849,0,BENIGN
89328,0,BENIGN
155858,0,BENIGN
196299,0,BENIGN
44684,0,BENIGN
75467,0,BENIGN
170261,0,BENIGN
54202,0,BENIGN
20020,0,BENIGN
66693,0,BENIGN
96113,0,BENIGN
84009,0,BENIGN
92770,0,BENIGN
146548,0,BENIGN
110241,0,BENIGN
104710,0,BENIGN
173787,0,BENIGN
23208,0,BENIGN
17683,0,BENIGN
116911,0,BENIGN
5595,0,BENIGN
21543,0,BENIGN
137413,0,BENIGN
112269,0,BENIGN
170016,0,BENIGN
38483,0,BENIGN
106620,0,BENIGN
50571,0,BENIGN
151003,0,BENIGN
50045,0,BENIGN
187580,0,BENIGN
73220,0,BENIGN
184944,0,BENIGN
24370,0,BENIGN
174692,0,BENIGN
116431,0,BENIGN
8566,0,BENIGN
69096,0,BENIGN
8262,0,BENIGN
86682,0,BENIGN
196114,0,BENIGN
167154,0,BENIGN
152728,0,BENIGN
94644,0,BENIGN
49694,0,BENIGN
62597,0,BENIGN
183358,0,BENIGN
120669,0,BENIGN
176288,0,BENIGN
28441,0,BENIGN
170448,0,BENIGN
153456,0,BENIGN
82031,0,BENIGN
